#""Wavelength (nm)""",Global tilt  W*m-2*nm-1,Direct+circumsolar W*m-2*nm-1,Photon Flux (Global Tilt)
3065,2.9113E-03,2.9458E-03,2.2059E+01
3070,1.7492E-03,1.7699E-03,1.3297E+01
3075,6.0221E-03,6.0928E-03,4.5927E+01
3080,3.6224E-03,3.6646E-03,2.7716E+01
3085,1.7671E-03,1.7876E-03,1.3565E+01
3090,2.3805E-03,2.4080E-03,1.8332E+01
3095,6.5510E-04,6.6266E-04,5.0613E+00
3100,4.4010E-03,4.4513E-03,3.4112E+01
3105,9.2155E-04,9.3203E-04,7.1660E+00
3110,8.4569E-04,8.5524E-04,6.5973E+00
3115,2.2677E-03,2.2932E-03,1.7747E+01
3120,9.8197E-03,9.9294E-03,7.7098E+01
3125,3.0289E-03,3.0625E-03,2.3857E+01
3130,5.7614E-03,5.8246E-03,4.5525E+01
3135,1.1446E-02,1.1571E-02,9.0732E+01
3140,3.3241E-03,3.3603E-03,2.6434E+01
3145,3.2517E-03,3.2869E-03,2.5941E+01
3150,6.6744E-03,6.7457E-03,5.3415E+01
3155,5.6366E-03,5.6965E-03,4.5253E+01
3160,9.2320E-03,9.3294E-03,7.4354E+01
3165,1.4017E-02,1.4163E-02,1.1325E+02
3170,1.2516E-02,1.2645E-02,1.0144E+02
3175,9.2302E-03,9.3252E-03,7.5047E+01
3180,1.0621E-02,1.0730E-02,8.6627E+01
3185,8.0823E-03,8.1644E-03,6.6128E+01
3190,4.2388E-03,4.2817E-03,3.4790E+01
3195,2.6927E-03,2.7197E-03,2.2170E+01
3200,4.3843E-04,4.4280E-04,3.6210E+00
3205,3.0973E-04,3.1280E-04,2.5661E+00
3210,1.3634E-04,1.3768E-04,1.1331E+00
3215,4.9752E-04,5.0237E-04,4.1477E+00
3220,1.6089E-03,1.6245E-03,1.3455E+01
3225,1.9875E-04,2.0066E-04,1.6672E+00
3230,3.4080E-04,3.4404E-04,2.8677E+00
3235,7.2940E-03,7.3625E-03,6.1567E+01
3240,3.7464E-03,3.7816E-03,3.1720E+01
3245,7.3409E-04,7.4096E-04,6.2347E+00
3250,2.6067E-03,2.6308E-03,2.2207E+01
3255,9.9378E-03,1.0029E-02,8.4923E+01
3260,1.2248E-03,1.2360E-03,1.0499E+01
3265,2.4465E-03,2.4686E-03,2.1035E+01
3270,1.2186E-03,1.2292E-03,1.0510E+01
3275,5.9265E-03,5.9758E-03,5.1269E+01
3280,2.8644E-03,2.8890E-03,2.4855E+01
3285,1.1128E-02,1.1223E-02,9.6855E+01
3290,8.7571E-03,8.8310E-03,7.6451E+01
3295,1.2234E-03,1.2337E-03,1.0713E+01
3300,1.7794E-03,1.7944E-03,1.5629E+01
3305,3.9416E-03,3.9746E-03,3.4726E+01
3310,3.9235E-03,3.9565E-03,3.4671E+01
3315,1.6133E-05,1.6269E-05,1.4299E-01
3320,5.9987E-05,6.0496E-05,5.3329E-01
3325,3.5187E-03,3.5486E-03,3.1376E+01
3330,4.6616E-03,4.7014E-03,4.1692E+01
3335,9.0694E-03,9.1470E-03,8.1359E+01
3340,3.4602E-03,3.4903E-03,3.1133E+01
3345,3.5408E-03,3.5722E-03,3.1954E+01
3350,8.0277E-03,8.0998E-03,7.2663E+01
3355,3.6308E-03,3.6642E-03,3.2963E+01
3360,5.2402E-03,5.2892E-03,4.7716E+01
3365,7.1907E-03,7.2591E-03,6.5671E+01
3370,3.9389E-03,3.9770E-03,3.6080E+01
3375,8.4560E-03,8.5388E-03,7.7687E+01
3380,5.1115E-03,5.1624E-03,4.7099E+01
3385,7.4896E-03,7.5650E-03,6.9217E+01
3390,9.8552E-03,9.9552E-03,9.1348E+01
